,id,session_id,date,object,action,strValue,unit_id,user_detail_id,intValue,just_date
29222,30520,2658318468,2017-05-15 15:02:29.958469,7,701,,4.0,69,,2017-05-15
29223,30521,2658318468,2017-05-15 15:02:31.841918,7,701,,4.0,69,,2017-05-15
29224,30522,2658318468,2017-05-15 15:02:35.008180,7,701,,4.0,69,,2017-05-15
29225,30523,2658318468,2017-05-15 15:02:50.279055,7,701,,4.0,69,,2017-05-15
29226,30524,2658318468,2017-05-15 15:02:53.077183,7,701,,4.0,69,,2017-05-15
29227,30525,2658318468,2017-05-15 15:02:55.408270,6,502,,4.0,69,,2017-05-15
29228,30526,172184393,2017-05-15 15:02:47.987039,7,701,,3.0,67,,2017-05-15
29229,30527,172184393,2017-05-15 15:02:54.421867,7,701,,3.0,67,,2017-05-15
29230,30528,172184393,2017-05-15 15:03:02.922264,7,701,,3.0,67,,2017-05-15
29231,30529,172184393,2017-05-15 15:03:08.122266,7,701,,3.0,67,,2017-05-15
29232,30530,172184393,2017-05-15 15:03:10.720328,7,702,07,3.0,67,,2017-05-15
29233,30531,172184393,2017-05-15 15:03:10.906368,7,702,08,3.0,67,,2017-05-15
29234,30532,172184393,2017-05-15 15:03:15.308559,7,701,,3.0,67,,2017-05-15
29235,30533,172184393,2017-05-15 15:03:23.024794,7,701,,3.0,67,,2017-05-15
29236,30534,172184393,2017-05-15 15:03:29.341289,7,701,,3.0,67,,2017-05-15
29237,30535,172184393,2017-05-15 15:03:33.370495,6,502,,3.0,67,,2017-05-15
29238,30536,3098594908,2017-05-15 14:20:37.811517,1,201,bmestous,,74,,2017-05-15
29239,30537,3098594908,2017-05-15 14:20:37.904675,1,202,bmestous,,74,,2017-05-15
29240,30538,135396880,2017-05-15 14:20:55.872494,1,201,bmestous,,74,,2017-05-15
29241,30539,135396880,2017-05-15 14:20:55.900159,1,202,bmestous,,74,,2017-05-15
29242,30540,4261317775,2017-05-15 15:30:24.458237,1,201,bmestous,,74,,2017-05-15
29243,30541,4261317775,2017-05-15 15:30:24.702063,1,203,bmestous,,74,,2017-05-15
